n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61008A;Aube | Route de Brethel ; Route de Brethel 61270 Aube;;0.545254;48.739113;2;FR*S61*E61008A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61008A;Aube | Route de Brethel ; Route de Brethel 61270 Aube;;0.545254;48.739113;2;FR*S61*E61008A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61029A;Bazoches-sur-Hoëne | Place de l'Église ; Place de l'Église 61560 Bazoches-sur-Hoëne;;0.470673;48.553200;2;FR*S61*E61029A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61029A;Bazoches-sur-Hoëne | Place de l'Église ; Place de l'Église 61560 Bazoches-sur-Hoëne;;0.470673;48.553200;2;FR*S61*E61029A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61038A;Bellême | Place Boucicaut ; Place Boucicaut 61130 Bellême;;0.564338;48.374336;2;FR*S61*E61038A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61038A;Bellême | Place Boucicaut ; Place Boucicaut 61130 Bellême;;0.564338;48.374336;2;FR*S61*E61038A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61040A;Bellou-en-Houlme | Route de Sainte-Opportune ; Route de Sainte-Opportune 61220 Bellou-en-Houlme;;-0.441353;48.691303;2;FR*S61*E61040A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61040A;Bellou-en-Houlme | Route de Sainte-Opportune ; Route de Sainte-Opportune 61220 Bellou-en-Houlme;;-0.441353;48.691303;2;FR*S61*E61040A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61043A;Berd'huis | Route de Nogent ; Route de Nogent 61340 Berd'huis;;0.747775;48.344566;2;FR*S61*E61043A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61043A;Berd'huis | Route de Nogent ; Route de Nogent 61340 Berd'huis;;0.747775;48.344566;2;FR*S61*E61043A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61061A;Bretoncelles | Place du Général de Gaulle ; Place du Général de Gaulle 61110 Bretoncelles;;0.887166;48.431120;2;FR*S61*E61061A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61061A;Bretoncelles | Place du Général de Gaulle ; Place du Général de Gaulle 61110 Bretoncelles;;0.887166;48.431120;2;FR*S61*E61061A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61063A;Briouze | Place de l'Église ; Place de l'Église 61220 Briouze;;-0.367463;48.698856;2;FR*S61*E61063A12;18.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61063A;Briouze | Place de l'Église ; Place de l'Église 61220 Briouze;;-0.367463;48.698856;2;FR*S61*E61063A11;18.000;T2-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61070A;Caligny | Le Bourg 24;24 Le Bourg 61100 Caligny;;-0.595259;48.808292;2;FR*S61*E61070A12;22.000;T3-EF;Payant;24/24 7/7;;2020/07/10
Syndicat de l'Énergie de l'Orne (TE61);Syndicat de l'Énergie de l'Orne (TE61) | FR*S61;Te61;FR*S61*P61070A;Caligny | Le Bourg 24;24 Le Bourg 61100 Caligny;;-0.595259;48.808292;2;FR*S61*E61070A11;22.000;T2-EF;Payant;24/24 7/7;;2020/07/10
